title,author,artist,publisher,public_date,genre,volume,series,cover_image,language,synopsis
Sweet Tooth #1,Jeff Lemire,Jeff Lemire,Vertigo,2009-09-02,Science Fiction,1,Sweet Tooth,https://m.media-amazon.com/images/I/512vnb7A8AL.jpg,English,"Sweet Tooth is set in a world where a mysterious disease has killed most of the human population and given rise to various hybrid animal-human creatures, and follows the story of a?young boy?with deer-like features as he embarks on a journey to discover the truth about his origins. The series explores themes of identity, family, and the nature of humanity."
The Adventures of Asterix and Obelix: Asterix the Gladiator #1,Rene Goscinny,Albert Uderzo,Dargaud,1962-06-26,Comic,1,The Adventures of Asterix and Obelix,https://asterix.com/wp-content/uploads/2017/06/alb04gb.png,French,"Asterix and Obelix travel to Rome to rescue their friend Cacofonix from being thrown to the lions in the Colosseum, and they become gladiators themselves to gain access to the arena."
The Adventures of Tintin: Tintin in Tibet #20,Herge,Herge,Casterman,1960-09-01,Adventure,20,The Adventures of Tintin,https://www.booksandyou.in/assets/uploads/Tintin%20in%20Tibet%20(1).jpg,French,"Tintin sets out on a dangerous journey to the?Himalayas?to search for his friend?Chang, who was believed to have died in a plane crash."
The Adventures of Tintin: Tintin and the Picaros #23,Herge,Herge,Casterman,1976-10-01,Adventure,23,The Adventures of Tintin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327959072i/146160.jpg,French,Tintin and his friends travel to the fictional South American country of?San Theodoros?to help their old friend General Alcazar overthrow the corrupt government and restore democracy.
The Adventures of Tintin: The Crab with the Golden Claws #1,Herge,Herge,Casterman,1940-02-09,Adventure,1,The Adventures of Tintin,https://upload.wikimedia.org/wikipedia/en/0/0a/The_Adventures_of_Tintin_-_09_-_The_Crab_with_the_Golden_Claws.jpg,French,Tintin helps a?drunken sailor?named?Captain Haddock?escape from his captors and uncovers a criminal operation involving drugs and a mysterious ship with golden claws.
The Amazing Spider-Man #1,Stan Lee,Steve Ditko,Marvel Comics,1963-03-10,Superhero,1,The Amazing Spider-Man,https://cdn.marvel.com/u/prod/marvel/i/mg/7/30/6259cb878dd80/clean.jpg,English,"Peter Parker, a high-school student, gains spider-like powers after being bitten"
The Boys #1,Garth Ennis,Darick Robertson,Dynamite Entertainment,2006-10-04,Superhero,1,The Boys,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/The_Boys_Season_1.jpg/220px-The_Boys_Season_1.jpg,English,"The Boys follows the story of a CIA-sponsored team tasked with monitoring and controlling superheroes who have become corrupt and dangerous. The series explores themes of power, corruption, and the consequences of?unchecked authority."
The Boys #1,Garth Ennis,Darick Robertson,Dynamite Entertainment,2006-10-01,Superhero,1,The Boys,https://static.wikia.nocookie.net/amazons-the-boys/images/6/62/Issue_Four.jpeg/revision/latest?cb=20201202180341,English,A group of vigilantes known as "The Boys" take on?corrupt superheroes?who abuse their powers and use their fame to get away with anything.
The Boys #2,Garth Ennis,Darick Robertson,Dynamite Entertainment,2006-10-18,Superhero,2,The Boys,https://static.wikia.nocookie.net/amazons-the-boys/images/2/2d/Issue_Two.jpg/revision/latest?cb=20200913043851,English,"The Boys is set in a world where superheroes are real, but are also corrupt and controlled by a powerful corporation. The series follows a group of vigilantes known as The?Boys?as they try to take down the superheroes and expose their crimes. The Boys is known for its?dark humor,?graphic violence, and satirical take on?superhero culture."
The Breaker #1,Jeon Geuk-jin,Park Jin-hwan,Daiwon C.I.,2007-06-01,Martial Arts,1,The Breaker,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1314878121i/12490424.jpg,Korean,A young man named Shi-Woon Yi becomes the disciple of a martial arts master and learns to defend himself against the violent world of gangs and bullies.
The Dark Knight Returns #1,Frank Miller,Frank Miller,DC Comics,1986-02-01,Superhero,1,Batman,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/1429343.jpg,English,"The Dark Knight Returns?is set in a?dystopian future?where Batman has retired and?Gotham City?has become overrun by crime. The story follows Batman as he comes out of retirement and battles a new generation of criminals, including the Joker and Two-Face. The graphic novel is known for its dark and gritty tone, and it is considered to be one of the most influential Batman stories ever written."
The Fade Out #1,Ed Brubaker,Sean Phillips,Image Comics,2014-08-20,Crime,1,The Fade Out,https://i.ebayimg.com/images/g/kvUAAOSwBahU5SS9/s-l500.jpg,English,"The?Fade Out?is set in 1940s Hollywood and follows the story of a screenwriter who becomes embroiled in a?murder mystery?involving various players in the film industry. The series explores themes of corruption, power, and the dark side of Hollywood."
The Ghostly Doctor #1,Yuan Man Dongman,Yuan Man Dongman,Tencent Animation,2018-04-05,Fantasy,1,The Ghostly Doctor,https://static.wikia.nocookie.net/ghostlydoctor/images/1/1e/0579-1.jpg/revision/latest?cb=20200624125217,Chinese,"A young girl named Yun?Qianyu?gains the power to travel through time and helps people in need, while also using her?medical knowledge?to heal the sick and injured."
The Immortal Hulk #1,Al Ewing,Joe Bennett,Marvel Comics,2018-06-06,Superhero,1,The Immortal Hulk,https://cdn.marvel.com/u/prod/marvel/i/mg/3/50/5b0f16d976240/clean.jpg,English,"The Immortal Hulk follows the story of?Bruce Banner, who has been killed and resurrected as the?Hulk, a monstrous creature with incredible strength and?regenerative abilities. The series explores themes of trauma, identity, and the darker aspects of superheroics. The Immortal Hulk has been praised for its horror elements and its exploration of the Hulk as a tragic figure."
The Invisibles #1,Grant Morrison,Steve Yeowell,Vertigo,1994-09-01,Science Fiction,1,The Invisibles,https://static.dc.com/dc/files/default_images/1686_400x600.jpg,English,"A group of rebels, known as The Invisibles, fight against a?secret society?that seeks to control humanity and usher in a new era of order."
The New Mutants #1,Chris Claremont,Bob McLeod,Marvel Comics,1983-03-01,Superhero,1,The New Mutants,https://cdn.marvel.com/u/prod/marvel/i/mg/6/d0/59fc7934234ad/clean.jpg,English,"The New Mutants follows the story of a group of?teenage mutants?who are being trained by the X-Men to use their powers for good. The series explores themes of adolescence, identity, and the nature of heroism. The New?Mutants?were introduced as a spin-off of the X-Men, and the series has had several different incarnations over the years."
The New Mutants #2,Chris Claremont,Bob McLeod,Marvel Comics,1983-03-01,Superhero,2,The New Mutants,https://previewsworld.com/SiteImage/MainImage/STL136416,English,A group of?teenage mutants?are trained by?Professor Xavier?to use their powers for good in a world that fears and hates them.
The Prince of Tennis?#1,Takeshi Konomi,Takeshi Konomi,Shueisha,1999-07-01,Sports,1,The Prince of Tennis,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Prince_of_Tennis_Volume_01.JPG/220px-Prince_of_Tennis_Volume_01.JPG,Japanese,A talented young?tennis player?named?Ryoma Echizen?joins the?Seishun Academy?tennis team and helps lead them to victory against other?high school teams.
The Punisher #1,Gerry Conway,Ross Andru,Marvel Comics,1974-02-01,Superhero,1,The Punisher,https://cdn.marvel.com/u/prod/marvel/i/mg/3/50/5c2537d63c740/clean.jpg,English,"The Punisher follows the story of?Frank Castle, a former Marine who becomes a vigilante after his family is killed in a?mob hit. The series explores themes of justice, revenge, and the consequences of violence. The Punisher has been adapted into several movies and television shows, and is one of Marvel Comics' most popular characters."
The Ravages of Time #1,Chen Mou,Chen Mou,Tong Li Publishing,2001-01-01,Historical,1,The Ravages of Time,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/3532630-01.jpg,Chinese,"Set in ancient China during the?Three Kingdoms period, this series follows the lives of various generals and strategists as they engage in political and military battles."
The Saga of the Swamp Thing #1,Alan Moore,Stephen R. Bissette,DC Comics,1982-10-01,Horror,21,The Saga of the Swamp Thing,https://static.wikia.nocookie.net/marvel_dc/images/f/fe/Swamp_Thing_Vol_1_1.jpg/revision/latest?cb=20160905170317,English,"The Saga of the Swamp Thing follows the story of?Alec Holland, a scientist who is transformed into a plant-based creature after a freak accident. The series explores themes of identity, humanity, and the relationship between man and nature. The Saga of the Swamp Thing is considered to be one of the greatest?horror comics?of all time, and it has been adapted into several movies and television shows."
The Sandman #1,Neil Gaiman,Sam Kieth,Vertigo,1989-01-01,Fantasy,1,The Sandman,https://upload.wikimedia.org/wikipedia/en/8/85/Sandman_no.1_%28Modern_Age%29.comiccover.jpg,English,"The Sandman follows the story of?Dream, the personification of dreams, as he navigates various realms and interacts with various supernatural beings. The series explores themes of mythology, storytelling, and the nature of reality."
The Sandman: A Game of You #1,Neil Gaiman,Shawn McManus,Vertigo,1991-10-01,Fantasy,1,The Sandman,https://static.wikia.nocookie.net/sandman/images/a/a0/GameYou1stEd.jpg/revision/latest?cb=20210820050902,English,"The Sandman: A Game of You is the fifth story arc in Neil Gaiman's?Sandman series, and it follows the story of?Barbie, a woman who is drawn into a fantastical world of dreams and magic. The story also features appearances by several other characters from the?Sandman universe, including?Morpheus?and the Corinthian. The graphic"
The Sandman: Preludes & Nocturnes #1,Neil Gaiman,Sam Kieth,Vertigo,1988-11-01,Fantasy,1,The Sandman,https://upload.wikimedia.org/wikipedia/en/0/0a/Sandman_Preludes_and_Nocturnes.jpg,English,"The Sandman: Preludes &?Nocturnes?follows the story of?Dream, the personification of dreams, as he is captured and imprisoned for 70 years by a cult, and his subsequent escape and journey to reclaim his power and identity. The series explores themes of mythology, storytelling, and the nature of dreams."
The Sandman: Preludes & Nocturnes #2,Neil Gaiman,Sam Kieth,Vertigo,1989-01-01,Fantasy,2,The Sandman,https://cdn.shopify.com/s/files/1/0282/0970/9115/products/HocusPocus2Cover_a4a49861-4c57-47d1-8b7f-9aa4c49ff654_324x.jpg?v=1599140188,English,"The Sandman: Preludes & Nocturnes is the?first story arc?in Neil Gaiman's?Sandman series, and it follows the story of?Morpheus, the Lord of Dreams, as he escapes from captivity and tries to reclaim his lost power and realm. The series explores themes of mythology, storytelling, and the nature of dreams. The Sandman has been praised for its?literary ambition,?stunning artwork, and complex characters."
The Sandman: Preludes & Nocturnes #3,Neil Gaiman,Sam Kieth,Vertigo,1988-01-01,Fantasy,3,The Sandman,https://www.compassbookratings.com/wp-content/uploads/2019/10/The-Sandman-Preludes-Nocturnes-198x300.jpg,English,"The Lord?of Dreams, also known as?Morpheus, is captured and held prisoner for 70 years, until he finally escapes and sets out to rebuild his kingdom and restore his power."
The Sandman: Preludes and Nocturnes #7,Neil Gaiman,Sam Kieth,Vertigo,1989-01-01,Fantasy,7,The Sandman,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/1238363.jpg,English,"The first issue of the?classic series, which follows the adventures of?Dream, the?anthropomorphic personification?of dreams, as he navigates the world of humans and other supernatural beings."
The Sandman: Brief Lives #41,Neil Gaiman,Jill Thompson,Vertigo,1993-09-01,Fantasy,41,The Sandman,https://upload.wikimedia.org/wikipedia/en/6/6a/Brief_Lives.jpg,English,"The Sandman: Brief Lives is the seventh?story arc?in Neil Gaiman's Sandman series, and it follows the story of Morpheus as he goes on a quest to find his?missing brother, with the help of several other characters from the?Sandman universe. The series explores themes of family, mortality, and the nature of change. The Sandman: Brief Lives is considered to be one of the most emotional and powerful arcs in the series."
The Sandman: The Doll's House #1,Neil Gaiman,Mike Dringenberg,Vertigo,1989-02-01,Fantasy,1,The Sandman,https://upload.wikimedia.org/wikipedia/en/4/4a/Sandman_Dolls_House.jpg,English,"The Sandman: The Doll's House is the?second story arc?in Neil Gaiman's?Sandman series, and it follows the story of?Dream?as he searches for his missing subjects, the escaped dreams, who are causing chaos in the waking world. The story also introduces several new characters, including?Rose Walker?and the?Corinthian. The graphic novel is known for its?intricate storytelling, rich mythology, and exploration of themes such as identity and destiny."
The Ultimates #1,Mark Millar,Bryan Hitch,Marvel Comics,2002-03-01,Superhero,1,The Ultimates,https://cdn.marvel.com/u/prod/marvel/i/mg/1/60/5640d596c5967/clean.jpg,English,"A modern-day reimagining of?The Avengers, featuring?Captain America,?Iron Man,?Thor, Hulk, and others as they face threats from within and without."
The Walking Dead #1,Robert Kirkman,Tony Moore,Image Comics,2003-10-08,Horror,1,The Walking Dead,https://cdn.imagecomics.com/assets/i/releases/7954/the-walking-dead-1_c4919f8289.jpg,English,"The Walking Dead follows the story of a group of survivors in a post-apocalyptic world overrun by zombies. The series explores themes of survival, community, and the nature of humanity."
The Walking Dead #193,Robert Kirkman,Charlie Adlard,Image Comics,2019-07-03,Horror,193,The Walking Dead,https://static.wikia.nocookie.net/walkingdead/images/1/16/Issue193Poster.jpg/revision/latest?cb=20190418175221,English,"The final issue of the long-running series, which sees the surviving characters come to terms with the end of the world and the new challenges they face in rebuilding society."
The Walking Dead #2,Robert Kirkman,Tony Moore,Image Comics,2003-10-08,Horror,2,The Walking Dead,https://upload.wikimedia.org/wikipedia/en/0/09/The_walking_dead_video_game_season_two_promo.jpg,English,"The Walking Dead is set in a world where a?zombie apocalypse?has occurred and follows the story of a group of survivors as they navigate their way through a dangerous and uncertain world. The series explores themes of survival, community, and the consequences of violence."
The Walking Dead #4,Robert Kirkman,Tony Moore,Image Comics,2003-10-08,Horror,4,The Walking Dead,https://upload.wikimedia.org/wikipedia/en/0/0e/The_Walking_Dead_The_Final_Season_cover.jpg,English,"Rick Grimes, a small-town police officer, wakes up from a coma to find that the world has been overrun by zombies, and he must fight to survive in a post-apocalyptic wasteland."
The Walking Dead #7,Robert Kirkman,Tony Moore,Image Comics,2006-10-01,Horror,7,The Walking Dead,https://cdn.imagecomics.com/assets/i/releases/7338/the-walking-dead-7_f7e211a993.jpg,English,"The first issue of the long-running series, which follows a group of survivors as they navigate a world overrun by zombies and try to find safety and a new way of life."
The Walking Dead: Rise of the Governor #1,Robert Kirkman,Jay Bonansinga,Image Comics,2011-10-11,Horror,1,The Walking Dead: Rise of the Governor,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212058i/10869746.jpg,English,"This novel tells the backstory of?Philip Blake, aka?The Governor, a ruthless leader who rules over?Woodbury?and clashes with Rick Grimes and his group of survivors."
The Walking Dead: Days Gone Bye #1,Robert Kirkman,Tony Moore,Image Comics,2003-10-08,Horror,1,The Walking Dead,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389233242i/138398.jpg,English,"The Walking Dead follows the story of?Rick Grimes, a sheriff's deputy who wakes up from a coma to find that the world has been overrun by zombies. The series explores themes of"
The Walking Dead: The Alien #1,Brian K. Vaughan,Marcos Martin,Panel Syndicate,2016-04-20,Horror,1,The Walking Dead,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/5509755.jpg,English,"This?standalone story?takes place in the same universe as The Walking Dead, but follows a new character named?Jeff?as he navigates the?zombie apocalypse?in Spain."
The Wicked + The Divine #1,Kieron Gillen,Jamie McKelvie,Image Comics,2014-06-18,Fantasy,1,The Wicked + The Divine,https://imagecomics.com/files/releases/_1200x630_fit_center-center_82_none/TWTD_1A.jpg?mtime=1543598691,English,"The Wicked + The Divine follows the story of a group of people who are revealed to be?reincarnated gods?who live for two years before dying. The series explores themes of celebrity, fandom, and the nature of divinity."
Thorgal: Beyond the Shadows-3,Jean Van Hamme,Grzegorz Rosi?ski,Le Lombard,1982-06-01,Fantasy,3,Thorgal,https://static.fnac-static.com/multimedia/FR/Images_Produits/FR/fnac.com/Visual_Principal_340/8/5/4/9781905460458/tsp20120923051944/Beyond-the-shadow.jpg,French,Thorgal must rescue his wife Aaricia from the clutches of an evil sorcerer and his army of monsters.
Thorgal: The Archers-4,Jean Van Hamme,Grzegorz Rosi?ski,Le Lombard,1982-09-01,Fantasy,4,Thorgal,https://pictures.abebooks.com/isbn/9782803605156-uk.jpg,French,Thorgal joins a group of archers who are trying to overthrow a?tyrannical ruler?and save their people from oppression.
Tintin in America-4,Herge,Herge,Casterman,1932-06-01,Adventure,4,The Adventures of Tintin,https://cdn001.tintin.com/public/tintin/img/albums/tintin/tintin-in-america.png,French,Tintin travels to the?United States?to investigate?organized crime?and corruption in Chicago and the Wild West.
Tintin in the Congo-1,Herge,Herge,Casterman,1931-06-01,Adventure,1,The Adventures of Tintin,https://cdn001.tintin.com/public/tintin/img/static/tintin-in-the-congo/tintin-in-the-congo.jpg,French,"Tintin?travels to the?Belgian Congo?to report on the country's colonial administration, but soon becomes embroiled in a series of dangerous adventures."
Tintin in the Land of the Soviets #1,Herge,Herge,Casterman,1930-01-10,Adventure,1,The Adventures of Tintin,https://cdn001.tintin.com/public/tintin/img/static/tintin-in-the-land-of-the-soviets/NB00_Soviets-en-a1.png,French,"Tintin, a young journalist, travels to?Soviet Russia?to report on the country's?communist regime, but he uncovers a sinister plot to sabotage his mission."
Tintin: Cigars of the Pharaoh-5,Herge,Herge,Casterman,1934-06-01,Adventure,5,The Adventures of Tintin,https://cdn001.tintin.com/public/tintin/img/static/cigars-of-the-pharaoh/cigars-of-the-pharaoh.jpg,French,Tintin travels to?Egypt?to investigate a?drug smuggling ring?and uncovers a sinister plot involving ancient Egyptian artifacts.
Transmetropolitan #1,Warren Ellis,Darick Robertson,Vertigo,1997-09-01,Science Fiction,1,Transmetropolitan,https://static.wikia.nocookie.net/marvel_dc/images/6/62/Transmetropolitan_1B.jpg/revision/latest?cb=20090401171054,English,"Transmetropolitan is set in a dystopian future where a journalist named?Spider Jerusalem?returns to the city after years of self-imposed isolation to expose the corruption and hypocrisy of the government and the media. The series explores themes of politics, media, and the nature of truth. Transmetropolitan has been praised for its biting satire, inventive world-building, and memorable characters."
Transmetropolitan #2,Warren Ellis,Darick Robertson,Vertigo,1997-08-01,Science Fiction,2,Transmetropolitan,https://cdn.thestorygraph.com/2mcs3ic73rw5m02oz5ggjygl4c9t,English,"In a dystopian future, a journalist named?Spider Jerusalem?returns to the city after years in isolation to report on the corrupt and depraved society that surrounds him."
Transmetropolitan #10,Warren Ellis,Darick Robertson,Vertigo,1997-07-07,Science Fiction,10,Transmetropolitan,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404360305i/22618212.jpg,English,"Set in a dystopian future where politics and media have merged into one, journalist?Spider Jerusalem?returns to the city to report on the corruption and hypocrisy of those in power."
V for Vendetta #1,Alan Moore,David Lloyd,DC Comics,1988-03-01,Dystopian,1,V for Vendetta,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/870985.jpg,English,"V for Vendetta?is set in a?dystopian future?where a?masked vigilante?named V seeks to overthrow the fascist government of the?United Kingdom. The series explores themes of totalitarianism, anarchy, and the power of ideas. V for?Vendetta?has been praised for its?political relevance, complex characters, and?iconic imagery."
Valerian and Laureline: Welcome to Alflolol-4,Pierre Christin,Jean-Claude Mezieres,Dargaud,1972-11-01,Science Fiction,4,Valerian and Laureline,https://blurbhack.com/images/book-covers/valerian-and-laureline-04-welcome-to-alflolol.png,French,Valerian and Laureline travel to the planet of Alflolol to investigate a strange epidemic that is affecting the local population.
Valerian and Laureline: The Land Without Stars-3,Pierre Christin,Jean-Claude Mezieres,Dargaud,1972-11-01,Science Fiction,3,Valerian and Laureline,https://comicvine.gamespot.com/a/uploads/scale_small/8/85763/2327054-valerian2.jpg,French,"Valerian and Laureline journey to a planet where the inhabitants have lost their ability to dream, and must find a way to restore their creativity."
Watchmen #1,Alan Moore,Dave Gibbons,DC Comics,1986-09-01,Superhero,1,Watchmen,https://static.wikia.nocookie.net/marvel_dc/images/c/ca/Watchmen_1.jpg/revision/latest?cb=20080618074453,English,"Watchmen?is set in an alternate version of the?United States?where superheroes are real and have been outlawed by the government. The story follows a group of?retired superheroes?as they investigate the murder of one of their own, and explores themes of power, corruption, and the consequences of vigilantism. Watchmen is considered to be one of the best?comic book series?ever written, and it has been adapted into a movie and a television series."
Watchmen #12,Alan Moore,Dave Gibbons,DC Comics,1987-10-01,Superhero,12,Watchmen,https://static.wikia.nocookie.net/marvel_dc/images/4/40/Watchmen_Vol_1_12.jpg/revision/latest?cb=20160822142616,English,"The epic conclusion to the groundbreaking?limited series, which explores the dark and complex world of superheroes and the consequences of their actions."
XIII: All the Tears of Hell-3,Jean Van Hamme,William Vance,Dargaud,1986-01-01,Thriller,3,XIII,https://theslingsandarrows.com/wp-content/uploads/2016/01/XIII-All-the-Tears-of-Hell.jpg,French,"XIII continues to search for his true identity, while being pursued by various organizations who want him dead or alive."
XIII: SPADS-4,Jean Van Hamme,William Vance,Dargaud,1987-01-01,Thriller,4,XIII,https://www.bedetheque.com/media/Couvertures/Couv_482.jpg,French,XIII joins a team of former?special forces soldiers?who are hired to take down a drug cartel in?South America.
Y: The Last Man #1,Brian K. Vaughan,Pia Guerra,Vertigo,2002-09-04,Science Fiction,1,Y: The Last Man,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/A1Lx5WkQIjL._AC_UF1000,1000_QL80_.jpg",English,"Y: The Last Man follows the story of?Yorick Brown, the last man on Earth after a mysterious event wipes out all?male mammals. The series follows his journey to discover the cause of the event and find a way to save humanity. The series explores themes of gender, identity, and the nature of humanity."
Y: The Last Man #2,Brian K. Vaughan,Pia Guerra,Vertigo,2002-09-04,Science Fiction,2,Y: The Last Man,https://imgix-media.wbdndc.net/ingest/book/preview/71e9efee-e340-49ec-9d3b-65843b217370/c6f45a65-e110-4f5b-97ce-324704122b26/0.jpg?ar=0.65&fit=fill&fill=blur,English,"Y: The Last Man is set in a world where a mysterious event has killed all?male mammals, except for one man named?Yorick?Brown and his?pet monkey. The series follows Yorick's journey to reunite with his girlfriend and discover the cause of the event. The series explores themes of gender, identity, and the nature of humanity."
Y: The Last Man #3,Brian K. Vaughan,Pia Guerra,Vertigo,2002-09-04,Science Fiction,3,Y: The Last Man,https://static.wikia.nocookie.net/marvel_dc/images/9/94/Y_the_Last_Man_3.jpg/revision/latest?cb=20061108193924,English,"Y:?The Last?Man is set in a world where a mysterious event has killed every?male mammal?on Earth, except for one man, Yorick Brown, and his?pet monkey. The series follows?Yorick?as he tries to find a way to survive in this new world and unravel the mystery of what caused the event. The series explores themes of gender, identity, and the nature of humanity."
Y: The Last Man #4,Brian K. Vaughan,Pia Guerra,Vertigo,2002-09-04,Science Fiction,4,Y: The Last Man,https://static.wikia.nocookie.net/marvel_dc/images/0/0f/Y_the_Last_Man_4.jpg/revision/latest?cb=20061108194113,English,"After a catastrophic event kills all?male mammals?on Earth, a young man named?Yorick?and his?pet monkey?are the only survivors with a?Y chromosome, and they must navigate a world where women are in charge and desperate to find a way to save humanity."
Justice League of America: The Brave and the Bold,Gardner Fox,Julius Schwartz,DC Comics,1960-03-08,Superhero,28,Justice League,https://upload.wikimedia.org/wikipedia/en/0/0e/Brave_bold_28.jpg,English,"Aquaman discovers Starro, an alien monster that can transform other creatures into duplicates of itself. He alerts the Justice League of America, and they divide to fight Starro and its spores. Green Lantern, Wonder Woman, Martian Manhunter, and The Flash each face one of Starro's spores. After defeating them, they join forces to stop the original Starro, using lime to incapacitate the monster. They make Snapper Carr an honorary member of the team for his unexpected help in defeating Starro."
X-Men: The Age of Apocalypse,Scott Lobdell,Joe Madureira,Mavel Comics,1995-08-01,Superhero,1,Astonishing X-Men,https://static.wikia.nocookie.net/marveldatabase/images/2/21/Astonishing_X-Men_Vol_1_1.jpg/revision/latest?cb=20180210023811,English,"The X-Men are warned that their mission could result in heavy casualties. Sunfire arrives, explaining that Apocalypse has resumed culling humans in Chicago with the help of Holocaust. Meanwhile, Gambit leaves to get the M'kraan Crystal, Nightcrawler goes on a mission to find Destiny, and Rogue and her team try to stop Holocaust's cullings in Chicago. Bishop believes the X-Men will fight to save their world, as the Professor would have wanted."
